dt,source,domain,url,title,summary,image,brief,body,raw_page,from
2010-06-12,新华网安徽站 ,,http://www.ah.xinhuanet.com/zhuanti/2010-06/12/content_20057998.htm,上海世博会安徽活动周将展示独特“徽文化”,,,"安徽省参与上海世博会办公室主任、安徽馆馆长高红妹在10日举行的安徽周新闻发布会上介绍说,安徽活动周将以“徽文化让生活更多彩——无徽不成镇”为主题。23日至27...  百度快照",,,
2010-05-27,荆楚网 ,,http://www.cnhubei.com/news/todaynews/sfw/lskd/201005/t1182914.shtml,"盘龙湖畔,开启中国徽文化臻品墅居",,,"地铁起点。3、二环线、三环线、武汉大道、岱黄高速、机场高速、盘龙大道,条条大路通达盘龙城。4、南距汉口火车站6公里;东距武汉火车站12公里、阳逻深水港20公里;...  百度快照",,,
2010-04-26,新华网安徽站 ,,http://www.ah.xinhuanet.com/hwh/2010-04/26/content_19625954.htm,世博安徽馆展示多姿多彩徽文化,,,"别惊讶,这就是上海世博会中国省区市馆的安徽馆区,她要带给你的,正是这让生活多姿多彩的徽文化。  一砖一瓦都来自黄山  在一片色彩各异、妖娆多姿的城市馆区...  百度快照",,,
2009-11-26,央广网 ,,http://china.cnr.cn/gdgg/200911/t20091126_505674120.shtml,世博安徽论坛今日举办 徽文化融入世博会,,,"中广网北京11月26日消息(记者洪波)据中国之声《央广新闻》10时43分报道,2010年上海世博会系列论坛之一“无徽不成镇---徽文化与城市发展”论坛今天(26日)上午...  3条相同新闻  -  百度快照",,,
2009-07-17,凤凰网 ,,http://finance.ifeng.com/roll/20090717/956155.shtml,黄山市:创新徽州文化传承模式 让古老文化遗产薪火相传,,,"新华网合肥7月17日电(记者代群、王立武)安徽黄山市在发展现代旅游业的过程中,把徽文化的抢救、保护、发掘和整理纳入经济和社会发展计划、建设规划、体制改革、...  6条相同新闻  -  百度快照",,,
2009-05-26,新华网安徽站 ,,http://www.ah.xinhuanet.com/ly/2009-05/26/content_16631173.htm,“科学发展看安徽”采访团沉醉徽文化,,,"5月25日,“科学发展看安徽”采访团一行,来到世界文化遗产西递、宏村以及棠樾牌坊群、花山谜窟等地,领略皖南山水的神韵,感受徽文化的博大精深。  处处是景、步步...  2条相同新闻  -  百度快照",,,
2009-04-29,新华网安徽站 ,,http://www.ah.xinhuanet.com/hfnews/2009-04/29/content_16390828.htm,世博会牵红线 徽文化闯世界,,,"到上海,看世博,欣赏全球城市精彩。昨天刚刚落幕的中博会让世界更深入地了解了安徽,与此同时世博会“宣传周”搭乘中博“头班车”来到了安徽,让我们在领略“海宝”...  2条相同新闻  -  百度快照",,,
2009-04-17,荆楚网 ,,http://www.cnhubei.com/news/gdxw/200904/t646428.shtml,婺源江湾 江西徽文化的生态家园,,,"荆楚网消息(记者艾凌璐)4月16日上午,2009网络媒体江西游采访团一行,来到江西徽文化的生态家园――婺源江湾游览。 婺源的江湾,其文化性格缘自徽州民间,属号“龙”...  2条相同新闻  -  百度快照",,,
2009-03-17,黄山新闻网 ,,http://www.newshs.com/html/200903/17/20090317085227.htm,黄山徽州区建“徽文化风景”桥(中安在线),,,"黄山徽州区建“徽文化风景”桥 中安在线讯(谢国洪 邱雁飞)3月16日,一座横跨黄山南麓丰乐河、连接安徽省黄山市徽州区南北的新建大桥即将竣工。与众不同的是,在这...  百度快照",,,
2010-10-05,黄山新闻网 ,,http://www.newshs.com/html/201010/5/20101005132537.htm,【音频】徽州文化博物馆:享受文化盛宴的好去处,,,"黄山新闻网10月5日讯(朱涌)国庆期间,我省最大的徽文化展示场所——安徽省中国徽州文化博物馆成为黄山市民和中外游客享受文化盛宴的理想去处。 连日来,一拨又一拨...  百度快照",,,
2017-03-03,中国网 ,,http://www.china.com.cn/node_7246566/content_40403655.htm,"首届""徽文化论坛""暨""安徽地域文化与统战工作""召开",,,"1月6日,由安徽社会主义学院、安徽中华文化学院主办的首届“徽文化论坛”暨“安徽地域文化与统战工作”学术研讨会在合肥召开。  2条相同新闻  -  百度快照",,,
2017-02-28,光明网 ,,http://news.gmw.cn/2017-02/28/content_23842231.htm,重塑活色生香的文化家园,,,"2008年1月,文化部正式批准在这里设立全国第一个打破行政区划、跨省市县的文化生态保护实验区,通过活态传承文化遗产的创新,重塑了活色生香的徽州文化家园。 江西婺源...  8条相同新闻  -  百度快照",,,
